"Entity","Month","Total_lockdown_length","Total_stay_at_home_requirements","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support","Monthly_workplace_closures_severity","previous_month_connected_lockdown","long_lockdown","Region","Sub.region","Indicator","Violence_Value","Population","Violence_per_million_people","lockdown_intensity_per_day","dv_percent_change_prev","pre_march_avg_dv","dv_percent_change_baseline","lag_deaths_per_million","lag_violence"
"albania","2019-10",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",112,2877239,38.9262066863406,0,0,35.2421192678119,0.104536489151874,0,0
"albania","2019-11",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",81,2877239,28.1519887642285,0,-0.276785714285714,35.2421192678119,-0.201183431952662,0,38.9262066863406
"albania","2019-12",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",113,2877239,39.2737621031829,0,0.395061728395059,35.2421192678119,0.114398422090729,0,28.1519887642285
"albania","2020-01",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",111,2877239,38.5786512694983,0,-0.0176991150442463,35.2421192678119,0.0946745562130185,0,39.2737621031829
"albania","2020-02",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",90,2877239,31.2799875158094,0,-0.18918918918919,35.2421192678119,-0.112426035502959,0,38.5786512694983
"albania","2020-03",19,19,38,3.53661568,13,42,0,19,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",90,2877239,31.2799875158094,2,0,35.2421192678119,-0.112426035502959,0,31.2799875158094
"albania","2020-04",30,30,60,7.07323136,46,60,1,49,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",96,2877239,33.3653200168634,2,0.066666666666668,35.2421192678119,-0.0532544378698217,3.53661568,31.2799875158094
"albania","2020-05",31,31,62,1.06098471,56,62,1,80,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",127,2877239,44.1395379389755,2,0.322916666666666,35.2421192678119,0.252465483234714,7.07323136,33.3653200168634
"albania","2020-06",0,30,30,7.78055448,30,60,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",159,2877239,55.26131127793,1,0.251968503937009,35.2421192678119,0.568047337278108,1.06098471,44.1395379389755
"albania","2020-07",0,31,31,33.59784928,31,62,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",158,2877239,54.9137558610877,1,-0.00628930817610009,35.2421192678119,0.558185404339252,7.78055448,55.26131127793
"albania","2020-08",0,31,31,44.20769646,31,62,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",174,2877239,60.4746425305649,1,0.101265822784809,35.2421192678119,0.715976331360948,33.59784928,54.9137558610877
"bosnia and herzegovina","2019-10",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",30,3277152,9.15429006649676,0,0,11.6564626846725,-0.214659685863873,0,33.2605872416049
"bosnia and herzegovina","2019-11",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",32,3277152,9.76457607092988,0,0.0666666666666671,11.6564626846725,-0.162303664921465,0,31.7348722305221
"bosnia and herzegovina","2019-12",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",34,3277152,10.374862075363,0,0.0625000000000002,11.6564626846725,-0.109947643979056,0,39.9737332903692
"bosnia and herzegovina","2020-01",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",38,3277152,11.5954340842292,0,0.117647058823526,11.6564626846725,-0.00523560209424218,0,22.2754391618088
"bosnia and herzegovina","2020-02",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",57,3277152,17.3931511263438,0,0.5,11.6564626846725,0.492146596858637,0,28.9885852105731
"bosnia and herzegovina","2020-03",12,12,36,3.74441847,31,45,0,12,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",49,3277152,14.9520071086114,3,-0.140350877192979,11.6564626846725,0.282722513089009,3.74441847,26.8525841950572
"bosnia and herzegovina","2020-04",30,30,83,16.53784835,30,90,1,42,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",40,3277152,12.2057200886624,2.76666666666667,-0.183673469387753,11.6564626846725,0.0471204188481733,16.53784835,26.2422981906241
"bosnia and herzegovina","2020-05",20,20,40,27.45906878,31,72,1,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",NA,3277152,NA,2,0,11.6564626846725,NA,27.45906878,0
"bosnia and herzegovina","2020-06",0,0,0,9.67308108,30,60,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",NA,3277152,NA,0,0,11.6564626846725,NA,9.67308108,0
